epoch,cpu_memory_mb,gpu_memory_mb,gpu_reserved_mb,gpu_peak_mb
1,5360.95703125,0.041015625,2.0,6037.06884765625
2,10864.375,10.01123046875,9908.0,6037.626953125
3,10830.62890625,9.56396484375,9908.0,6037.66064453125
4,10830.6484375,15.4130859375,9908.0,6035.89794921875
5,10866.01953125,12.52099609375,9908.0,6036.8955078125
6,10864.07421875,9.56396484375,9908.0,6037.3955078125
7,10865.71484375,9.56396484375,9908.0,6038.40966796875
8,10848.171875,12.52099609375,9908.0,6036.099609375
9,10830.25,14.48974609375,9908.0,6035.75830078125
10,10830.62109375,14.59130859375,9908.0,6037.73046875
1,4106.70703125,0.041015625,2.0,6041.78466796875
2,6149.06640625,10.74462890625,6144.0,6043.99169921875
1,5357.79296875,0.041015625,2.0,6036.7548828125
2,10667.51953125,14.58935546875,9908.0,6036.1826171875
3,10701.34765625,9.66357421875,9908.0,6035.54443359375
4,10711.609375,14.58935546875,9908.0,6037.81201171875
5,10747.04296875,9.66357421875,9908.0,6037.14990234375
6,10724.65234375,12.62060546875,9908.0,6038.10400390625
7,10595.3671875,15.4873046875,9908.0,6036.3564453125
8,10595.75,14.58935546875,9908.0,6036.064453125
9,10619.54296875,9.66357421875,9908.0,6037.43701171875
10,10553.7421875,14.58935546875,9908.0,6036.5009765625
1,5360.6796875,0.041015625,2.0,6198.0302734375
1,4104.07421875,0.041015625,2.0,6731.80224609375
2,8749.5078125,909.05908203125,10152.0,6731.60986328125
3,8814.0234375,906.84375,10152.0,6733.2216796875
4,8813.67578125,907.158203125,10152.0,6731.17333984375
5,8877.69140625,908.42431640625,10152.0,6732.32275390625
6,8877.72265625,909.35302734375,10152.0,6731.08837890625
7,8877.5625,903.8291015625,10152.0,6731.560546875
8,8877.9375,904.00244140625,10152.0,6730.54443359375
9,8877.9140625,903.76513671875,10152.0,6733.6982421875
10,8865.5625,908.921875,10152.0,6730.75439453125
1,4107.05078125,0.041015625,2.0,4155.3427734375
2,5257.02734375,904.91064453125,6070.0,4152.5791015625
3,5219.98828125,903.48291015625,6070.0,4155.34716796875
4,5220.29296875,903.48388671875,6070.0,4155.3544921875
5,5220.5234375,903.48388671875,6070.0,4154.7353515625
6,5219.89453125,901.28515625,6070.0,4154.19775390625
7,5220.1796875,904.91064453125,6070.0,4154.17333984375
8,5219.59375,901.265625,6070.0,4154.5
9,5220.05078125,903.48388671875,6070.0,4155.8798828125
10,5220.24609375,903.48388671875,6070.0,4155.22314453125
1,4107.94921875,0.0849609375,2.0,5389.63720703125
2,6010.7734375,904.505859375,7094.0,5389.244140625
3,6010.6328125,904.587890625,7094.0,5389.54150390625
4,6028.49609375,904.552734375,7094.0,5390.09765625
5,6028.6328125,903.09423828125,7094.0,5390.87353515625
6,6028.89453125,900.9052734375,7094.0,5389.59326171875
7,6028.50390625,904.552734375,7094.0,5389.5029296875
8,6028.87890625,904.55908203125,7094.0,5388.50927734375
9,6028.55078125,903.08837890625,7094.0,5388.62060546875
10,6028.55859375,903.1171875,7094.0,5390.79150390625
