num_layer,num_dim,train_time_sec,gpu_peak_mb,val_node_mse,val_net_mse
2,8,61.014907360076904,7775.3271484375,122.985954,69.81939
2,16,92.96884179115295,9009.302734375,110.23545,70.96739
2,32,206.1355381011963,11482.81103515625,119.65064,66.5588
3,8,132.2804310321808,8422.66845703125,117.03881,67.84659
3,16,185.3846116065979,10186.2529296875,121.2676,65.71436
3,32,316.4456672668457,13720.0205078125,125.09026,66.77568
4,8,194.20791935920715,9069.75439453125,107.4137,67.67651
4,16,270.0933289527893,11361.57275390625,115.208664,69.73012
4,32,434.96282505989075,15957.53515625,124.12349,64.669716
