num_layer,num_dim,train_time_sec,gpu_peak_mb
2,16,0.9056246280670166,7865.94384765625
2,16,0.4213590621948242,8169.94482421875
2,16,0.42232298851013184,8168.89794921875
2,32,0.6128170490264893,10568.337890625
2,32,0.6152181625366211,10569.1298828125
2,32,0.6136925220489502,10569.8984375
4,16,0.7132117748260498,10463.94287109375
4,16,0.7129547595977783,10469.7080078125
4,16,0.7151675224304199,10466.18505859375
4,32,1.0884289741516113,14922.7080078125
4,32,1.0900866985321045,14922.60107421875
4,32,1.0902001857757568,14923.1474609375
2,16,0.9047250747680664,7634.8046875
2,16,0.4200315475463867,8169.7958984375
2,16,0.41651463508605957,8172.34375
2,32,0.6136658191680908,10569.87939453125
2,32,0.6143283843994141,10569.33056640625
2,32,0.6149399280548096,10570.38720703125
4,16,0.712116003036499,10466.31884765625
4,16,0.712043046951294,10469.1064453125
4,16,0.7149906158447266,10469.8779296875
4,32,1.0888373851776123,14923.861328125
4,32,1.0909831523895264,14926.88232421875
4,32,1.0907118320465088,14923.8203125
